1	0.01
2	0.01
3	0.01
4	0.02
5	0.07
6	0.08
7	0.04
8	0.1
9	0.1
10	0.11
11	0.12
12	0.12
13	0.17
14	0.21
15	0.13
16	0.14
17	0.19
18	0.19
19	0.17
20	0.19
21	0.21
22	0.24
23	0.2
24	0.27
25	0.28
26	0.26
27	0.23
28	0.26
29	0.24
30	0.24
31	0.3
32	0.28
33	0.32
34	0.36
35	0.35
36	0.32
37	0.38
38	0.38
39	0.36
40	0.43
41	0.5
42	0.5
43	0.57
44	0.58
45	0.5
46	0.58
47	0.55
48	0.57
49	0.6
50	0.57
51	0.76
52	0.68
53	0.72
54	0.67
55	0.78
56	0.79
57	0.76
58	0.77
59	0.8
60	0.82
61	0.88
62	0.86
63	0.87
64	0.87
65	0.96
66	0.95
67	0.91
68	0.97
69	0.94
70	0.95
71	0.97
72	0.98
73	1.0
74	0.98
75	0.99
76	1.0
77	1.0
78	0.99
79	1.0
80	1.0
81	1.0
82	1.0
83	1.0
84	1.0
85	1.0
86	1.0
87	1.0
88	1.0
89	1.0
90	1.0
91	1.0
92	1.0
93	1.0
94	1.0
95	1.0
96	1.0
97	1.0
98	1.0
99	1.0
